ind_type,geo\time,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018
"Employees, self-employed, familly workers",FRA,50.0,59.0,68.0,71.0,70.0,80.0,83.0
"Employees, self-employed, familly workers",HRV,46.0,51.0,53.0,66.0,68.0,73.0,81.0
"Employees, self-employed, familly workers",HUN,23.0,37.0,55.0,65.0,71.0,77.0,79.0
"Employees, self-employed, familly workers",IRL,61.0,68.0,74.0,79.0,78.0,84.0,87.0
"Employees, self-employed, familly workers",ISL,61.0,61.0,71.0,,,87.0,88.0
"Employees, self-employed, familly workers",ITA,21.0,20.0,25.0,25.0,30.0,33.0,43.0
"Employees, self-employed, familly workers",LTU,19.0,29.0,36.0,44.0,54.0,67.0,74.0
"Employees, self-employed, familly workers",LUX,69.0,71.0,75.0,81.0,82.0,86.0,91.0
"Employees, self-employed, familly workers",LVA,31.0,38.0,42.0,52.0,58.0,68.0,70.0
"Employees, self-employed, familly workers",MNE,43.0,,,,,87.0,89.0
"Employees, self-employed, familly workers",MKD,22.0,32.0,51.0,64.0,68.0,78.0,73.0
"Employees, self-employed, familly workers",MLT,54.0,56.0,66.0,78.0,79.0,86.0,85.0
"Employees, self-employed, familly workers",NLD,65.0,76.0,80.0,85.0,87.0,93.0,93.0
"Employees, self-employed, familly workers",NOR,80.0,82.0,85.0,90.0,87.0,92.0,93.0
"Employees, self-employed, familly workers",POL,28.0,38.0,44.0,53.0,35.0,46.0,57.0
"Employees, self-employed, familly workers",PRT,24.0,26.0,44.0,56.0,60.0,69.0,72.0
"Employees, self-employed, familly workers",ROU,9.0,18.0,29.0,44.0,53.0,62.0,68.0
"Employees, self-employed, familly workers",SRB,,,,58.0,,73.0,76.0
"Employees, self-employed, familly workers",SWE,75.0,80.0,83.0,85.0,86.0,94.0,92.0
"Employees, self-employed, familly workers",SVN,35.0,49.0,52.0,66.0,66.0,78.0,81.0
"Employees, self-employed, familly workers",SVK,45.0,48.0,59.0,67.0,69.0,75.0,73.0
"Employees, self-employed, familly workers",TUR,19.0,29.0,44.0,56.0,68.0,76.0,77.0
"Employees, self-employed, familly workers",GBR,71.0,75.0,81.0,88.0,90.0,92.0,91.0
"Employees, self-employed, familly workers",XKX,,,,,,81.0,81.0
students,AUT,84.0,89.0,94.0,99.0,97.0,97.0,97.0
students,BIH,,,,,,,92.0
students,BEL,73.0,81.0,80.0,91.0,94.0,92.0,93.0
students,BGR,30.0,56.0,72.0,84.0,91.0,95.0,95.0
students,CHE,,,85.0,,,86.0,
students,CYP,61.0,71.0,86.0,96.0,96.0,99.0,97.0
students,CZE,,68.0,79.0,87.0,,94.0,97.0
students,DEU,56.0,80.0,87.0,91.0,94.0,95.0,98.0
students,DNK,87.0,89.0,92.0,92.0,95.0,97.0,97.0
students,EA,65.0,79.0,84.0,89.0,90.0,92.0,93.0
students,EST,68.0,77.0,92.0,93.0,96.0,97.0,98.0
students,GRC,58.0,67.0,78.0,85.0,88.0,92.0,91.0
students,ESP,76.0,86.0,93.0,93.0,95.0,97.0,97.0
students,EU27,65.0,77.0,84.0,90.0,90.0,92.0,93.0
students,EU28,65.0,78.0,84.0,90.0,90.0,92.0,93.0
students,FIN,80.0,82.0,93.0,93.0,96.0,97.0,95.0
students,FRA,78.0,83.0,83.0,91.0,89.0,91.0,91.0
students,HRV,87.0,82.0,83.0,96.0,89.0,96.0,98.0
students,HUN,38.0,64.0,81.0,89.0,92.0,94.0,95.0
students,IRL,78.0,89.0,94.0,95.0,91.0,95.0,99.0
students,ISL,87.0,84.0,93.0,,,97.0,88.0
students,ITA,40.0,64.0,72.0,78.0,81.0,83.0,82.0
students,LTU,52.0,67.0,82.0,86.0,87.0,96.0,96.0
students,LUX,83.0,82.0,86.0,87.0,91.0,94.0,97.0
students,LVA,56.0,78.0,82.0,92.0,91.0,94.0,97.0
students,MNE,66.0,,,,,10.0,97.0
students,MKD,42.0,59.0,84.0,86.0,94.0,92.0,87.0
students,MLT,88.0,92.0,94.0,10.0,96.0,97.0,97.0
students,NLD,87.0,91.0,83.0,94.0,88.0,10.0,95.0
students,NOR,89.0,96.0,92.0,91.0,87.0,99.0,97.0
students,POL,53.0,63.0,77.0,88.0,83.0,87.0,92.0
students,PRT,69.0,78.0,84.0,91.0,94.0,96.0,96.0
students,ROU,18.0,43.0,62.0,80.0,82.0,90.0,88.0
students,SRB,,,,92.0,,89.0,94.0
students,SWE,89.0,87.0,90.0,94.0,85.0,91.0,94.0
students,SVN,78.0,85.0,91.0,96.0,95.0,97.0,97.0
students,SVK,73.0,82.0,86.0,93.0,95.0,94.0,98.0
students,TUR,39.0,51.0,69.0,74.0,86.0,91.0,88.0
students,GBR,93.0,95.0,95.0,98.0,93.0,94.0,88.0
students,XKX,,,,,,88.0,94.0
Unemployed,AUT,46.0,58.0,53.0,67.0,69.0,67.0,68.0
Unemployed,BIH,,,,,,,61.0
Unemployed,BEL,33.0,40.0,50.0,60.0,59.0,69.0,76.0
Unemployed,BGR,5.0,11.0,16.0,22.0,28.0,40.0,37.0
Unemployed,CHE,,,73.0,,,67.0,
Unemployed,CYP,27.0,31.0,43.0,59.0,58.0,77.0,75.0
Unemployed,CZE,,16.0,34.0,33.0,,49.0,59.0
Unemployed,DEU,18.0,33.0,37.0,51.0,52.0,59.0,66.0
Unemployed,DNK,54.0,62.0,76.0,73.0,92.0,84.0,89.0
Unemployed,EA,28.0,37.0,47.0,52.0,54.0,59.0,65.0
Unemployed,EST,34.0,44.0,55.0,55.0,60.0,67.0,72.0
Unemployed,GRC,24.0,23.0,36.0,48.0,55.0,56.0,63.0
Unemployed,ESP,33.0,47.0,60.0,65.0,69.0,77.0,81.0
Unemployed,EU27,28.0,37.0,46.0,52.0,53.0,59.0,64.0
Unemployed,EU28,28.0,37.0,46.0,52.0,53.0,59.0,64.0
Unemployed,FIN,50.0,54.0,66.0,69.0,75.0,83.0,75.0
Unemployed,FRA,45.0,52.0,60.0,63.0,60.0,68.0,76.0
Unemployed,HRV,36.0,32.0,34.0,44.0,53.0,50.0,52.0
Unemployed,HUN,10.0,20.0,32.0,44.0,47.0,46.0,47.0
Unemployed,IRL,45.0,52.0,58.0,65.0,62.0,72.0,79.0
Unemployed,ISL,60.0,58.0,54.0,,,,
Unemployed,ITA,14.0,22.0,30.0,35.0,38.0,36.0,43.0
Unemployed,LTU,10.0,17.0,21.0,25.0,32.0,37.0,45.0
Unemployed,LUX,60.0,64.0,73.0,63.0,76.0,91.0,92.0
Unemployed,LVA,16.0,22.0,27.0,34.0,43.0,49.0,52.0
Unemployed,MNE,26.0,,,,,69.0,75.0
Unemployed,MKD,12.0,22.0,31.0,49.0,48.0,63.0,60.0
Unemployed,MLT,33.0,37.0,38.0,53.0,60.0,,
Unemployed,NLD,64.0,69.0,69.0,75.0,80.0,90.0,86.0
Unemployed,NOR,72.0,78.0,76.0,77.0,75.0,72.0,82.0
Unemployed,POL,13.0,24.0,28.0,35.0,27.0,29.0,38.0
Unemployed,PRT,18.0,20.0,33.0,37.0,46.0,51.0,53.0
Unemployed,ROU,4.0,10.0,27.0,44.0,53.0,67.0,62.0
Unemployed,SRB,,,,29.0,,48.0,62.0
Unemployed,SWE,69.0,58.0,67.0,87.0,70.0,92.0,89.0
Unemployed,SVN,30.0,33.0,44.0,52.0,46.0,55.0,71.0
Unemployed,SVK,24.0,33.0,43.0,51.0,36.0,53.0,47.0
Unemployed,TUR,15.0,27.0,39.0,49.0,67.0,73.0,79.0
Unemployed,GBR,58.0,62.0,71.0,79.0,76.0,83.0,81.0
Unemployed,XKX,,,,,,76.0,76.0
"Individuals, 16 TO 24 years old",AUT,82.0,88.0,91.0,97.0,96.0,99.0,97.0
"Individuals, 16 TO 24 years old",BIH,,,,,,,92.0
"Individuals, 16 TO 24 years old",BEL,70.0,79.0,81.0,90.0,92.0,92.0,93.0
"Individuals, 16 TO 24 years old",BGR,23.0,40.0,58.0,71.0,81.0,85.0,88.0
"Individuals, 16 TO 24 years old",CHE,,,88.0,,,83.0,
"Individuals, 16 TO 24 years old",CYP,52.0,64.0,83.0,94.0,95.0,96.0,96.0
"Individuals, 16 TO 24 years old",CZE,,61.0,75.0,84.0,,92.0,96.0
"Individuals, 16 TO 24 years old",DEU,58.0,80.0,89.0,91.0,93.0,95.0,97.0
"Individuals, 16 TO 24 years old",DNK,87.0,88.0,93.0,93.0,94.0,96.0,97.0
"Individuals, 16 TO 24 years old",EA,64.0,76.0,82.0,87.0,87.0,90.0,92.0
"Individuals, 16 TO 24 years old",EST,66.0,72.0,91.0,93.0,95.0,97.0,97.0
"Individuals, 16 TO 24 years old",GRC,51.0,63.0,71.0,84.0,87.0,89.0,92.0
"Individuals, 16 TO 24 years old",ESP,75.0,85.0,91.0,93.0,95.0,95.0,96.0
"Individuals, 16 TO 24 years old",EU27,63.0,74.0,81.0,87.0,87.0,90.0,92.0
"Individuals, 16 TO 24 years old",EU28,63.0,74.0,81.0,87.0,87.0,90.0,92.0
"Individuals, 16 TO 24 years old",FIN,80.0,81.0,93.0,95.0,96.0,96.0,96.0
"Individuals, 16 TO 24 years old",FRA,78.0,82.0,84.0,90.0,86.0,90.0,92.0
"Individuals, 16 TO 24 years old",HRV,85.0,82.0,80.0,95.0,86.0,91.0,99.0
"Individuals, 16 TO 24 years old",HUN,33.0,54.0,76.0,85.0,90.0,91.0,89.0
"Individuals, 16 TO 24 years old",IRL,70.0,84.0,92.0,91.0,91.0,95.0,95.0
"Individuals, 16 TO 24 years old",ISL,86.0,82.0,91.0,,,95.0,93.0
"Individuals, 16 TO 24 years old",ITA,33.0,54.0,61.0,68.0,71.0,72.0,74.0
"Individuals, 16 TO 24 years old",LTU,48.0,64.0,75.0,79.0,86.0,91.0,94.0
"Individuals, 16 TO 24 years old",LUX,83.0,82.0,87.0,89.0,90.0,92.0,95.0
"Individuals, 16 TO 24 years old",LVA,54.0,71.0,75.0,87.0,87.0,94.0,94.0
"Individuals, 16 TO 24 years old",MNE,56.0,,,,,96.0,97.0
"Individuals, 16 TO 24 years old",MKD,35.0,52.0,79.0,86.0,92.0,91.0,
"Individuals, 16 TO 24 years old",MLT,84.0,82.0,91.0,96.0,93.0,98.0,98.0
"Individuals, 16 TO 24 years old",NLD,92.0,94.0,91.0,91.0,89.0,98.0,96.0
"Individuals, 16 TO 24 years old",NOR,91.0,94.0,95.0,95.0,91.0,98.0,96.0
"Individuals, 16 TO 24 years old",POL,46.0,60.0,71.0,84.0,75.0,82.0,88.0
"Individuals, 16 TO 24 years old",PRT,58.0,66.0,81.0,86.0,92.0,95.0,95.0
"Individuals, 16 TO 24 years old",ROU,14.0,31.0,53.0,70.0,74.0,82.0,83.0
"Individuals, 16 TO 24 years old",SRB,,,,69.0,,86.0,88.0
"Individuals, 16 TO 24 years old",SWE,92.0,90.0,91.0,91.0,86.0,94.0,94.0
"Individuals, 16 TO 24 years old",SVN,74.0,80.0,82.0,95.0,88.0,96.0,97.0
"Individuals, 16 TO 24 years old",SVK,69.0,79.0,83.0,90.0,90.0,91.0,92.0
"Individuals, 16 TO 24 years old",TUR,27.0,39.0,56.0,64.0,78.0,85.0,84.0
"Individuals, 16 TO 24 years old",GBR,89.0,94.0,94.0,97.0,97.0,98.0,95.0
"Individuals, 16 TO 24 years old",XKX,,,,,,90.0,93.0
"Individuals, 25 TO 54 years old",AUT,50.0,58.0,65.0,74.0,75.0,85.0,84.0
"Individuals, 25 TO 54 years old",BIH,,,,,,,78.0
"Individuals, 25 TO 54 years old",BEL,49.0,51.0,66.0,77.0,79.0,84.0,85.0
"Individuals, 25 TO 54 years old",BGR,16.0,24.0,34.0,48.0,57.0,71.0,72.0
"Individuals, 25 TO 54 years old",CHE,,,69.0,,,76.0,
"Individuals, 25 TO 54 years old",CYP,26.0,31.0,48.0,66.0,72.0,80.0,85.0
"Individuals, 25 TO 54 years old",CZE,,33.0,44.0,54.0,,73.0,82.0
"Individuals, 25 TO 54 years old",DEU,36.0,50.0,65.0,74.0,79.0,86.0,90.0
"Individuals, 25 TO 54 years old",DNK,70.0,76.0,84.0,87.0,90.0,91.0,93.0
"Individuals, 25 TO 54 years old",EA,38.0,47.0,59.0,64.0,68.0,75.0,79.0
"Individuals, 25 TO 54 years old",EST,44.0,54.0,68.0,74.0,76.0,82.0,85.0
"Individuals, 25 TO 54 years old",GRC,26.0,30.0,44.0,54.0,57.0,65.0,67.0
"Individuals, 25 TO 54 years old",ESP,43.0,58.0,73.0,78.0,84.0,89.0,91.0
"Individuals, 25 TO 54 years old",EU27,40.0,48.0,59.0,65.0,68.0,75.0,79.0
"Individuals, 25 TO 54 years old",EU28,40.0,48.0,59.0,65.0,68.0,75.0,79.0
"Individuals, 25 TO 54 years old",FIN,69.0,74.0,82.0,85.0,90.0,91.0,90.0
"Individuals, 25 TO 54 years old",FRA,47.0,56.0,67.0,69.0,70.0,79.0,83.0
"Individuals, 25 TO 54 years old",HRV,42.0,46.0,49.0,62.0,65.0,68.0,77.0
"Individuals, 25 TO 54 years old",HUN,20.0,34.0,53.0,65.0,70.0,76.0,77.0
"Individuals, 25 TO 54 years old",IRL,58.0,65.0,73.0,79.0,78.0,84.0,88.0
"Individuals, 25 TO 54 years old",ISL,64.0,67.0,76.0,,,92.0,89.0
"Individuals, 25 TO 54 years old",ITA,19.0,20.0,26.0,27.0,32.0,35.0,45.0
"Individuals, 25 TO 54 years old",LTU,16.0,25.0,34.0,43.0,53.0,67.0,75.0
"Individuals, 25 TO 54 years old",LUX,67.0,70.0,76.0,80.0,82.0,86.0,89.0
"Individuals, 25 TO 54 years old",LVA,28.0,37.0,42.0,53.0,59.0,70.0,73.0
"Individuals, 25 TO 54 years old",MNE,36.0,,,,,83.0,86.0
"Individuals, 25 TO 54 years old",MKD,17.0,28.0,43.0,58.0,63.0,75.0,63.0
"Individuals, 25 TO 54 years old",MLT,45.0,49.0,59.0,75.0,78.0,87.0,85.0
"Individuals, 25 TO 54 years old",NLD,61.0,73.0,78.0,83.0,86.0,92.0,92.0
"Individuals, 25 TO 54 years old",NOR,84.0,86.0,89.0,91.0,87.0,92.0,94.0
"Individuals, 25 TO 54 years old",POL,25.0,37.0,43.0,52.0,36.0,46.0,58.0
"Individuals, 25 TO 54 years old",PRT,22.0,25.0,42.0,54.0,61.0,69.0,74.0
"Individuals, 25 TO 54 years old",ROU,8.0,17.0,29.0,44.0,54.0,64.0,69.0
"Individuals, 25 TO 54 years old",SRB,,,,44.0,,68.0,73.0
"Individuals, 25 TO 54 years old",SWE,80.0,82.0,85.0,86.0,85.0,93.0,92.0
"Individuals, 25 TO 54 years old",SVN,33.0,46.0,51.0,63.0,69.0,78.0,81.0
"Individuals, 25 TO 54 years old",SVK,42.0,46.0,59.0,64.0,69.0,77.0,75.0
"Individuals, 25 TO 54 years old",TUR,13.0,21.0,33.0,43.0,58.0,69.0,71.0
"Individuals, 25 TO 54 years old",GBR,71.0,75.0,82.0,88.0,90.0,92.0,92.0
"Individuals, 25 TO 54 years old",XKX,,,,,,77.0,80.0
"Individuals, 55 TO 74 years old",AUT,16.0,19.0,24.0,28.0,31.0,42.0,45.0
"Individuals, 55 TO 74 years old",BIH,,,,,,,29.0
"Individuals, 55 TO 74 years old",BEL,21.0,24.0,34.0,42.0,45.0,52.0,53.0
"Individuals, 55 TO 74 years old",BGR,3.0,4.0,5.0,10.0,13.0,21.0,23.0
"Individuals, 55 TO 74 years old",CHE,,,29.0,,,50.0,
"Individuals, 55 TO 74 years old",CYP,4.0,4.0,8.0,20.0,21.0,33.0,40.0
"Individuals, 55 TO 74 years old",CZE,,6.0,11.0,13.0,,24.0,29.0
"Individuals, 55 TO 74 years old",DEU,11.0,18.0,26.0,33.0,38.0,49.0,55.0
"Individuals, 55 TO 74 years old",DNK,34.0,38.0,51.0,55.0,62.0,64.0,76.0
"Individuals, 55 TO 74 years old",EA,12.0,17.0,23.0,28.0,31.0,39.0,44.0
"Individuals, 55 TO 74 years old",EST,10.0,20.0,23.0,24.0,24.0,31.0,35.0
"Individuals, 55 TO 74 years old",GRC,3.0,5.0,10.0,11.0,12.0,18.0,22.0
"Individuals, 55 TO 74 years old",ESP,10.0,16.0,26.0,32.0,39.0,49.0,55.0
"Individuals, 55 TO 74 years old",EU27,14.0,18.0,24.0,29.0,32.0,39.0,44.0
"Individuals, 55 TO 74 years old",EU28,14.0,18.0,24.0,29.0,32.0,39.0,43.0
"Individuals, 55 TO 74 years old",FIN,26.0,32.0,40.0,45.0,47.0,55.0,56.0
"Individuals, 55 TO 74 years old",FRA,19.0,27.0,31.0,34.0,33.0,41.0,50.0
"Individuals, 55 TO 74 years old",HRV,7.0,10.0,10.0,15.0,16.0,19.0,29.0
"Individuals, 55 TO 74 years old",HUN,6.0,9.0,14.0,18.0,25.0,27.0,27.0
"Individuals, 55 TO 74 years old",IRL,22.0,27.0,30.0,35.0,36.0,49.0,37.0
"Individuals, 55 TO 74 years old",ISL,29.0,34.0,39.0,,,61.0,66.0
"Individuals, 55 TO 74 years old",ITA,5.0,4.0,6.0,7.0,8.0,11.0,18.0
"Individuals, 55 TO 74 years old",LTU,1.0,2.0,5.0,7.0,10.0,18.0,27.0
"Individuals, 55 TO 74 years old",LUX,40.0,48.0,48.0,59.0,63.0,68.0,67.0
"Individuals, 55 TO 74 years old",LVA,5.0,8.0,8.0,12.0,14.0,22.0,23.0
"Individuals, 55 TO 74 years old",MNE,10.0,,,,,33.0,30.0
"Individuals, 55 TO 74 years old",MKD,4.0,5.0,7.0,17.0,22.0,28.0,59.0
"Individuals, 55 TO 74 years old",MLT,11.0,14.0,21.0,29.0,27.0,35.0,31.0
"Individuals, 55 TO 74 years old",NLD,25.0,36.0,47.0,55.0,60.0,72.0,71.0
"Individuals, 55 TO 74 years old",NOR,48.0,54.0,50.0,60.0,62.0,71.0,74.0
"Individuals, 55 TO 74 years old",POL,5.0,8.0,10.0,16.0,7.0,11.0,17.0
"Individuals, 55 TO 74 years old",PRT,4.0,4.0,9.0,14.0,17.0,24.0,25.0
"Individuals, 55 TO 74 years old",ROU,1.0,4.0,5.0,11.0,13.0,20.0,25.0
"Individuals, 55 TO 74 years old",SRB,,,,7.0,,18.0,23.0
"Individuals, 55 TO 74 years old",SWE,41.0,41.0,54.0,55.0,67.0,72.0,78.0
"Individuals, 55 TO 74 years old",SVN,5.0,10.0,11.0,12.0,16.0,27.0,33.0
"Individuals, 55 TO 74 years old",SVK,8.0,10.0,14.0,15.0,20.0,28.0,22.0
"Individuals, 55 TO 74 years old",TUR,1.0,2.0,5.0,7.0,13.0,19.0,26.0
"Individuals, 55 TO 74 years old",GBR,33.0,34.0,45.0,55.0,57.0,61.0,61.0
"Individuals, 55 TO 74 years old",XKX,,,,,,54.0,54.0
