ind_type,geo\time,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018
"Females, 16 TO 74 years old",PRT,17.0,20.0,32.0,41.0,49.0,56.0,58.0
"Females, 16 TO 74 years old",ROU,6.0,14.0,22.0,34.0,41.0,50.0,56.0
"Females, 16 TO 74 years old",SRB,,,,29.0,,49.0,54.0
"Females, 16 TO 74 years old",SWE,66.0,68.0,76.0,76.0,78.0,85.0,90.0
"Females, 16 TO 74 years old",SVN,26.0,36.0,42.0,48.0,52.0,62.0,66.0
"Females, 16 TO 74 years old",SVK,33.0,37.0,46.0,51.0,57.0,62.0,59.0
"Females, 16 TO 74 years old",TUR,10.0,16.0,25.0,32.0,44.0,54.0,58.0
"Females, 16 TO 74 years old",GBR,60.0,64.0,72.0,78.0,83.0,84.0,83.0
"Females, 16 TO 74 years old",XKX,,,,,,73.0,76.0
Individuals with no or low formal education,AUT,34.0,34.0,33.0,40.0,47.0,52.0,58.0
Individuals with no or low formal education,BIH,,,,,,,36.0
Individuals with no or low formal education,BEL,30.0,34.0,40.0,50.0,55.0,58.0,57.0
Individuals with no or low formal education,BGR,3.0,5.0,11.0,15.0,21.0,29.0,33.0
Individuals with no or low formal education,CHE,,,48.0,,,52.0,
Individuals with no or low formal education,CYP,10.0,15.0,22.0,31.0,36.0,42.0,44.0
Individuals with no or low formal education,CZE,,27.0,33.0,43.0,,50.0,60.0
Individuals with no or low formal education,DEU,27.0,42.0,54.0,60.0,63.0,69.0,76.0
Individuals with no or low formal education,DNK,61.0,64.0,72.0,,78.0,77.0,82.0
Individuals with no or low formal education,EA,21.0,27.0,34.0,39.0,42.0,47.0,53.0
Individuals with no or low formal education,EST,30.0,39.0,51.0,57.0,56.0,69.0,72.0
Individuals with no or low formal education,GRC,7.0,10.0,14.0,17.0,20.0,24.0,25.0
Individuals with no or low formal education,ESP,21.0,30.0,40.0,45.0,53.0,59.0,64.0
Individuals with no or low formal education,EU27,21.0,27.0,34.0,38.0,42.0,47.0,52.0
Individuals with no or low formal education,EU28,21.0,27.0,33.0,38.0,42.0,47.0,52.0
Individuals with no or low formal education,FIN,45.0,55.0,58.0,66.0,64.0,66.0,65.0
Individuals with no or low formal education,FRA,30.0,34.0,39.0,42.0,41.0,49.0,58.0
Individuals with no or low formal education,HRV,18.0,18.0,28.0,20.0,17.0,13.0,30.0
Individuals with no or low formal education,HUN,10.0,18.0,26.0,30.0,36.0,41.0,40.0
Individuals with no or low formal education,IRL,28.0,32.0,40.0,42.0,40.0,47.0,40.0
Individuals with no or low formal education,ISL,53.0,52.0,60.0,,,76.0,75.0
Individuals with no or low formal education,ITA,7.0,10.0,14.0,16.0,20.0,21.0,28.0
Individuals with no or low formal education,LTU,16.0,24.0,36.0,37.0,45.0,52.0,56.0
Individuals with no or low formal education,LUX,42.0,44.0,54.0,72.0,70.0,75.0,72.0
Individuals with no or low formal education,LVA,23.0,31.0,34.0,37.0,43.0,50.0,58.0
Individuals with no or low formal education,MNE,11.0,,,,,25.0,41.0
Individuals with no or low formal education,MKD,8.0,13.0,25.0,28.0,38.0,45.0,44.0
Individuals with no or low formal education,MLT,22.0,24.0,30.0,38.0,43.0,56.0,54.0
Individuals with no or low formal education,NLD,41.0,47.0,54.0,61.0,62.0,73.0,73.0
Individuals with no or low formal education,NOR,72.0,73.0,75.0,78.0,80.0,80.0,85.0
Individuals with no or low formal education,POL,15.0,20.0,28.0,36.0,35.0,42.0,45.0
Individuals with no or low formal education,PRT,11.0,13.0,20.0,27.0,31.0,37.0,38.0
Individuals with no or low formal education,ROU,3.0,7.0,12.0,20.0,23.0,29.0,37.0
Individuals with no or low formal education,SRB,,,,11.0,,27.0,33.0
Individuals with no or low formal education,SWE,62.0,57.0,66.0,61.0,63.0,76.0,79.0
Individuals with no or low formal education,SVN,16.0,21.0,19.0,32.0,37.0,44.0,46.0
Individuals with no or low formal education,SVK,35.0,35.0,50.0,51.0,43.0,51.0,51.0
Individuals with no or low formal education,TUR,6.0,11.0,18.0,24.0,36.0,46.0,50.0
Individuals with no or low formal education,GBR,29.0,33.0,41.0,45.0,54.0,56.0,49.0
Individuals with no or low formal education,XKX,,,,,,63.0,60.0
individuals with medium formal education,AUT,45.0,51.0,54.0,62.0,61.0,71.0,71.0
individuals with medium formal education,BIH,,,,,,,66.0
individuals with medium formal education,BEL,46.0,48.0,61.0,74.0,73.0,79.0,80.0
individuals with medium formal education,BGR,10.0,17.0,25.0,36.0,45.0,56.0,57.0
individuals with medium formal education,CHE,,,55.0,,,68.0,
individuals with medium formal education,CYP,20.0,26.0,40.0,60.0,63.0,71.0,76.0
individuals with medium formal education,CZE,,24.0,32.0,38.0,,55.0,61.0
individuals with medium formal education,DEU,29.0,41.0,53.0,61.0,66.0,74.0,79.0
individuals with medium formal education,DNK,56.0,62.0,72.0,,80.0,83.0,88.0
individuals with medium formal education,EA,35.0,43.0,53.0,58.0,61.0,68.0,72.0
individuals with medium formal education,EST,32.0,42.0,49.0,56.0,58.0,63.0,66.0
individuals with medium formal education,GRC,25.0,29.0,41.0,53.0,52.0,60.0,64.0
