,ind_type,geo\time,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018
440,"Individuals, 16 TO 24 years old",AT,82,88,91,97,96,99,97
441,"Individuals, 16 TO 24 years old",BA,NA,NA,NA,NA,NA,NA,92
442,"Individuals, 16 TO 24 years old",BE,70,79,81,90,92,92,93
443,"Individuals, 16 TO 24 years old",BG,23,40,58,71,81,85,88
444,"Individuals, 16 TO 24 years old",CH,NA,NA,88,NA,NA,83,NA
445,"Individuals, 16 TO 24 years old",CY,52,64,83,94,95,96,96
446,"Individuals, 16 TO 24 years old",CZ,NA,61,75,84,NA,92,96
447,"Individuals, 16 TO 24 years old",DE,58,80,89,91,93,95,97
448,"Individuals, 16 TO 24 years old",DK,87,88,93,93,94,96,97
449,"Individuals, 16 TO 24 years old",EA,64,76,82,87,87,90,92
450,"Individuals, 16 TO 24 years old",EE,66,72,91,93,95,97,97
451,"Individuals, 16 TO 24 years old",EL,51,63,71,84,87,89,92
452,"Individuals, 16 TO 24 years old",ES,75,85,91,93,95,95,96
453,"Individuals, 16 TO 24 years old",EU27,63,74,81,87,87,90,92
454,"Individuals, 16 TO 24 years old",EU28,63,74,81,87,87,90,92
455,"Individuals, 16 TO 24 years old",FI,80,81,93,95,96,96,96
456,"Individuals, 16 TO 24 years old",FR,78,82,84,90,86,90,92
457,"Individuals, 16 TO 24 years old",HR,85,82,80,95,86,91,99
458,"Individuals, 16 TO 24 years old",HU,33,54,76,85,90,91,89
459,"Individuals, 16 TO 24 years old",IE,70,84,92,91,91,95,95
460,"Individuals, 16 TO 24 years old",IS,86,82,91,NA,NA,95,93
461,"Individuals, 16 TO 24 years old",IT,33,54,61,68,71,72,74
462,"Individuals, 16 TO 24 years old",LT,48,64,75,79,86,91,94
463,"Individuals, 16 TO 24 years old",LU,83,82,87,89,90,92,95
464,"Individuals, 16 TO 24 years old",LV,54,71,75,87,87,94,94
465,"Individuals, 16 TO 24 years old",ME,56,NA,NA,NA,NA,96,97
466,"Individuals, 16 TO 24 years old",MK,35,52,79,86,92,91,NA
467,"Individuals, 16 TO 24 years old",MT,84,82,91,96,93,98,98
468,"Individuals, 16 TO 24 years old",NL,92,94,91,91,89,98,96
469,"Individuals, 16 TO 24 years old",NO,91,94,95,95,91,98,96
470,"Individuals, 16 TO 24 years old",PL,46,60,71,84,75,82,88
471,"Individuals, 16 TO 24 years old",PT,58,66,81,86,92,95,95
472,"Individuals, 16 TO 24 years old",RO,14,31,53,70,74,82,83
473,"Individuals, 16 TO 24 years old",RS,NA,NA,NA,69,NA,86,88
474,"Individuals, 16 TO 24 years old",SE,92,90,91,91,86,94,94
475,"Individuals, 16 TO 24 years old",SI,74,80,82,95,88,96,97
476,"Individuals, 16 TO 24 years old",SK,69,79,83,90,90,91,92
477,"Individuals, 16 TO 24 years old",TR,27,39,56,64,78,85,84
478,"Individuals, 16 TO 24 years old",UK,89,94,94,97,97,98,95
479,"Individuals, 16 TO 24 years old",XK,NA,NA,NA,NA,NA,90,93
