,ind_type,geo\time,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018
480,"Individuals, 25 TO 54 years old",AT,50,58,65,74,75,85,84
481,"Individuals, 25 TO 54 years old",BA,NA,NA,NA,NA,NA,NA,78
482,"Individuals, 25 TO 54 years old",BE,49,51,66,77,79,84,85
483,"Individuals, 25 TO 54 years old",BG,16,24,34,48,57,71,72
484,"Individuals, 25 TO 54 years old",CH,NA,NA,69,NA,NA,76,NA
485,"Individuals, 25 TO 54 years old",CY,26,31,48,66,72,80,85
486,"Individuals, 25 TO 54 years old",CZ,NA,33,44,54,NA,73,82
487,"Individuals, 25 TO 54 years old",DE,36,50,65,74,79,86,90
488,"Individuals, 25 TO 54 years old",DK,70,76,84,87,90,91,93
489,"Individuals, 25 TO 54 years old",EA,38,47,59,64,68,75,79
490,"Individuals, 25 TO 54 years old",EE,44,54,68,74,76,82,85
491,"Individuals, 25 TO 54 years old",EL,26,30,44,54,57,65,67
492,"Individuals, 25 TO 54 years old",ES,43,58,73,78,84,89,91
493,"Individuals, 25 TO 54 years old",EU27,40,48,59,65,68,75,79
494,"Individuals, 25 TO 54 years old",EU28,40,48,59,65,68,75,79
495,"Individuals, 25 TO 54 years old",FI,69,74,82,85,90,91,90
496,"Individuals, 25 TO 54 years old",FR,47,56,67,69,70,79,83
497,"Individuals, 25 TO 54 years old",HR,42,46,49,62,65,68,77
498,"Individuals, 25 TO 54 years old",HU,20,34,53,65,70,76,77
499,"Individuals, 25 TO 54 years old",IE,58,65,73,79,78,84,88
500,"Individuals, 25 TO 54 years old",IS,64,67,76,NA,NA,92,89
501,"Individuals, 25 TO 54 years old",IT,19,20,26,27,32,35,45
502,"Individuals, 25 TO 54 years old",LT,16,25,34,43,53,67,75
503,"Individuals, 25 TO 54 years old",LU,67,70,76,80,82,86,89
504,"Individuals, 25 TO 54 years old",LV,28,37,42,53,59,70,73
505,"Individuals, 25 TO 54 years old",ME,36,NA,NA,NA,NA,83,86
506,"Individuals, 25 TO 54 years old",MK,17,28,43,58,63,75,63
507,"Individuals, 25 TO 54 years old",MT,45,49,59,75,78,87,85
508,"Individuals, 25 TO 54 years old",NL,61,73,78,83,86,92,92
509,"Individuals, 25 TO 54 years old",NO,84,86,89,91,87,92,94
510,"Individuals, 25 TO 54 years old",PL,25,37,43,52,36,46,58
511,"Individuals, 25 TO 54 years old",PT,22,25,42,54,61,69,74
512,"Individuals, 25 TO 54 years old",RO,8 ,17,29,44,54,64,69
513,"Individuals, 25 TO 54 years old",RS,NA,NA,NA,44,NA,68,73
514,"Individuals, 25 TO 54 years old",SE,80,82,85,86,85,93,92
515,"Individuals, 25 TO 54 years old",SI,33,46,51,63,69,78,81
516,"Individuals, 25 TO 54 years old",SK,42,46,59,64,69,77,75
517,"Individuals, 25 TO 54 years old",TR,13,21,33,43,58,69,71
518,"Individuals, 25 TO 54 years old",UK,71,75,82,88,90,92,92
519,"Individuals, 25 TO 54 years old",XK,NA,NA,NA,NA,NA,77,80
